,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
16,1,2,1,5,1910,9002.87,2037.88,70037.44,1984.29,177.44473,3.3658003226131323,50.73619261614589,115.67513207205424,11.182580626654847,2,RECS
17,8,2,1,6,2650,5774.08,105881.18,61902.73,694.28,246.19295,126.0422091850315,23.453474195747685,73.68974206544097,2.820064506315067,2,RECS
18,7,3,2,4,990,9972.38,17919.54,17919.54,2369.67,91.97397,57.09982408435779,108.42611230112172,57.09982408435779,25.764572302359028,1,RECS
19,7,2,2,3,1300,15768.8,0.0,6259.64,6017.42,120.7739,0.0,130.56463358391176,15.18969706567396,49.823844390220074,1,RECS
20,3,3,2,3,1230,1594.69,48564.13,30747.61,380.66,114.27069,124.55283278004185,13.955372108105761,78.85865404602004,3.3312129295797552,1,RECS
21,3,5,1,4,1130,6443.51,1429.82,4220.07,1751.85,104.98039,3.9915909744667557,61.37822501897735,11.781058681245137,16.687402285322047,1,RECS
22,1,2,1,7,2730,11015.2,0.0,31043.85,218.0,253.62519,0.0,43.431017242411926,35.87203685623656,0.8595360736841636,3,RECS
23,4,2,1,6,2640,9956.64,0.0,12764.17,488.0,245.26391999999998,0.0,40.59561634666852,15.25217433558919,1.989693388248871,2,RECS
24,3,2,1,1,950,5103.92,104346.92,90047.32,1670.37,88.25785,346.49672738821533,57.82964348213785,299.01315429415064,18.9260218779406,0,RECS
25,1,2,1,5,1620,12737.88,0.0,641.02,655.05,150.50286,0.0,84.6354680568861,1.248244534489245,4.35240898412163,2,RECS
26,4,2,1,7,3000,9976.59,90332.11,64849.23,785.59,278.709,94.9869642164767,35.79572242015866,68.19093996006589,2.818674675019465,3,RECS
27,1,2,1,1,1490,10247.86,0.0,62667.88,1658.07,138.42547,0.0,74.03160704457063,132.67889398880135,11.978070220747671,0,RECS
28,5,2,1,6,1810,15747.04,0.0,3112.07,3974.63,168.15443,0.0,93.64629882186274,5.4239276774926495,23.63678435352551,2,RECS
29,3,2,1,4,2500,11907.74,0.0,24990.32,1139.29,232.2575,0.0,51.269560724626764,31.5336989019515,4.905288311464646,1,RECS
30,1,2,1,2,1900,5930.6,92785.79,71562.88,1451.88,176.5157,154.05328965689736,33.598144527653915,118.81665372813863,8.225217360268804,0,RECS
31,4,2,1,3,990,8819.63,50104.27,36437.24,1804.21,91.97397,159.65504710919842,95.89267485137371,116.1056586340679,19.616528459084677,1,RECS
32,8,2,1,8,3200,26763.69,0.0,0.0,9363.72,297.2896,0.0,90.02565175505634,0.0,31.496964575955563,3,RECS
33,4,2,1,1,2750,11758.93,177529.75,151837.35,2292.84,255.48325,203.64865940232875,46.026226768291075,174.17628749379853,8.974521813073851,0,RECS
34,1,2,1,2,1350,9666.78,75286.13,62117.4,0.0,125.41905,175.9236846813144,77.07585091738457,145.15186118376755,0.0,0,RECS
35,7,2,1,2,1600,8167.71,42659.49,37720.37,2551.98,148.6448,84.10828628912682,54.94783537668321,74.37022052752603,17.168309957697815,0,RECS
36,3,3,1,5,2250,4423.71,93062.45,82181.04,497.82,209.03175,130.47733315130358,21.162861622696074,115.2211545558988,2.381552084790947,2,RECS
37,5,2,1,2,3300,22773.26,117115.54,95532.31,5338.94,306.5799,111.95505127159348,74.28164729651226,91.32284805367215,17.41451412829086,0,RECS
38,8,3,2,4,1700,1721.15,16133.0,13938.24,149.0,157.9351,29.937071892188627,10.897830817848597,25.864383123447542,0.9434254956624588,1,RECS
39,2,2,1,4,2200,13836.75,0.0,28881.42,670.79,204.3866,0.0,67.69890981111287,41.41321711315713,3.2819666259921147,1,RECS
40,7,2,1,8,2000,13253.26,56290.04,34401.71,3563.53,185.806,88.78603658030418,71.32848239561693,54.261668360601924,19.17876710117004,3,RECS
41,9,2,2,2,2000,5712.82,0.0,0.0,0.0,185.806,0.0,30.746154591347963,0.0,0.0,0,RECS
42,9,1,1,4,780,5938.58,0.0,31404.33,857.42,72.46433999999999,0.0,81.9517572367319,127.0100355213337,11.832302619467727,1,RECS
43,1,2,1,1,1150,4134.59,0.0,0.0,0.0,106.83845,0.0,38.69945698388549,0.0,0.0,0,RECS
44,3,2,1,7,1400,6002.88,0.0,3501.54,138.42,130.0642,0.0,46.15320741602993,7.889948420395467,1.064243658131907,3,RECS
45,9,2,1,1,1500,9658.17,64688.08,33634.32,425.85,139.3545,136.0429716563154,69.30648095325232,70.73502324445927,3.0558754830306882,0,RECS
46,5,3,1,7,1300,9046.21,92552.9,47336.87,2027.49,120.7739,224.58967505313652,74.9020276731976,114.86806195519067,16.787484713170645,3,RECS
47,2,3,2,9,1560,5265.1,33032.78,19127.98,0.0,144.92867999999999,66.7980269148936,36.32890329229522,38.6801027000315,0.0,3,RECS
48,5,3,2,6,1100,9367.16,1030.98,10727.06,1032.52,102.1933,2.9566550799318554,91.66119500984898,30.763173331911197,10.103597789678972,2,RECS
49,8,2,1,6,2800,4579.27,21409.9,15984.33,2280.0,260.1284,24.121244750284863,17.603883313010037,18.00858182893525,8.764902255962825,2,RECS
50,3,2,1,6,2500,13204.43,146696.11,136772.75,2284.4,232.2575,185.10651175445358,56.85254512771385,172.58485351495648,9.835635017168444,2,RECS
51,5,2,1,5,2150,4540.79,0.0,1073.82,1236.58,199.74145,0.0,22.733338523376094,1.5755643168706348,6.190903290228443,2,RECS
52,5,3,1,1,1400,7159.45,34960.54,33924.41,1215.2,130.0642,78.77586928870512,55.04550829513425,76.44117876487151,9.343078264426337,0,RECS
