DOEID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,BA_climate,IECC_climate_code,UATYP10,,,,,TYPEHUQ,CELLAR,CRAWL,CONCRETE,BASEOTH,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,SIZEOFGARAGE,KOWNRENT,YEARMADERANGE
100171,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,3A,U,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,2,3
100172,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,2,0,1,1,0,-2,0,-2,2,0,-2,1,5
100173,WEST,Pacific,53,WA,Washington,Marine,4C,R,,,,,2,0,0,1,0,-2,0,-2,2,1,3,1,9
100174,WEST,Pacific,53,WA,Washington,Marine,4C,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100175,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,0,-2,1,5
100176,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,2,1,1,1,0,0,0,-2,1,1,2,1,7
100177,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,0,1,0,0,-2,1,0,1,1,2,1,7
100178,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,R,,,,,2,1,0,0,0,1,1,0,2,1,3,1,4
100179,WEST,Mountain North,16,ID,Idaho,Cold,6B,R,,,,,2,0,1,0,0,-2,0,-2,1,1,2,1,6
100180,WEST,Pacific,02,AK,Alaska,Very-Cold,7AK,U,,,,,3,0,1,0,0,-2,0,-2,2,1,2,1,5
100181,WEST,Pacific,53,WA,Washington,Marine,4C,C,,,,,2,0,0,1,0,-2,0,-2,1,1,2,2,6
100182,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,7
100183,SOUTH,South Atlantic,11,DC,District of Columbia,Mixed-Humid,4A,U,,,,,3,1,0,0,0,1,0,-2,2,0,-2,2,1
100184,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,R,,,,,2,1,0,0,0,0,1,0,2,0,-2,1,6
100185,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,5
100186,MIDWEST,East North Central,18,IN,Indiana,Cold,5A,U,,,,,2,1,1,0,0,0,1,0,1,0,-2,1,1
100187,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,3A,U,,,,,2,0,0,0,1,-2,0,-2,1,0,-2,2,1
100188,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,5A,U,,,,,2,1,0,0,0,0,0,-2,1,0,-2,1,4
100189,WEST,Mountain North,16,ID,Idaho,Cold,5B,U,,,,,2,1,0,0,0,1,0,-2,1,1,2,1,4
100190,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
100191,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,C,,,,,2,0,1,0,0,-2,0,-2,2,0,-2,1,1
100192,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
