,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
260,2,1,12820.614,142.0038609505754,55.09018522825818,152.94937855371046,12.37820498097829
262,7,1,7525.143,16.295917883288066,139.72917192404185,10.06922190927136,55.65330056079998
264,5,3,42735.38,103.26398419557755,124.30222920680711,89.23363057417532,33.3185126471088
265,9,1,4552.247,53.1205499848756,244.56032372584352,37.71783926223687,58.20175971404891
266,1,1,761.8046,77.25324916783123,241.40967381924446,91.31426304199266,27.772714462475022
268,8,1,12634.807999999999,55.93623957008291,67.92109543730305,48.419683426768344,0.0
269,4,2,45986.985,58.82287462443994,59.34683476205279,66.80948418477533,1.9058447696451508
270,7,1,464.607903,226.6057580169918,161.12080641899885,190.27213241355474,55.07067447365397
271,2,3,39948.29,525.3784228531935,217.30624765165166,158.97995203722112,25.272861859043278
272,3,1,2020.64025,69.9348970461219,335.874730793866,89.50206572446531,26.606476102809495
273,3,2,1184.51325,247.22074668983234,55.099425861213454,252.51130565403133,3.752602899967561
274,7,1,18580.6,100.66192157955074,140.286643057813,5.870773363346718,16.271602994198254
276,5,3,222.9672,249.72533758328584,357.2677954425584,20.867621766789018,29.592695670035777
278,4,3,520.2568,101.55361864948235,73.21961000798068,99.260906723372,7.5062374485062
279,2,0,26012.84,29.95328423843764,241.2384422462138,200.96523597450337,21.660911359620865
280,8,1,6131.598,129.79886340020988,215.4232876975953,123.03350767662852,8.831708650175697
281,3,1,36232.17,131.68252725028617,52.09489246710865,120.87430681736703,1.4377818494448444
282,7,3,26012.84,40.31980092854145,471.1224149304728,144.88480374518892,166.56847322810583
283,6,3,483.0956,105.93178411684976,201.60812890864665,148.2300008756031,56.20025816836254
284,9,1,26012.84,7.519813457700121,83.25150195057518,0.10587033891724242,7.233759620825716
285,3,1,6967.725,208.11617255058144,74.46749118255958,174.89104906579982,12.525956895973938
286,1,1,11705.778,373.09161595444573,248.78662486167087,359.09491947147814,17.367577629782488
288,9,0,9290.3,1.2289656973402368,147.06694078770332,33.18343030246602,0.0
289,5,2,39948.29,20.154023858843523,172.37118284662498,20.339961341899745,12.52941325210666
290,7,2,1858.06,138.95123148122235,104.67584469823365,132.95309149220157,18.596946914523755
292,1,1,1718.7055,64.85072478385622,11.962491537962729,64.85072478385622,0.49296884253875956
293,8,1,22296.72,86.98673916903473,51.315843765361,72.60106655099943,3.948391684158029
294,2,3,13935.45,175.0629953248729,128.85863032768944,173.7924310829575,30.05890221004704
295,4,3,12077.39,45.18389132734806,99.71086468185594,34.354082165434754,36.656788252925516
296,2,0,26012.84,197.907073724207,91.12023139341956,169.89634177225554,13.78263492721287
299,5,2,19509.63,94.64697888504293,94.11285606133995,0.0,22.43450728932327
301,9,3,1486.448,96.2909434672454,11.79590540671453,94.28600350365434,2.8803390626513674
302,8,0,204.3866,10.871868909214207,113.37338162090862,26.44264502173822,0.0
307,2,3,7618.046,188.90439321763088,133.03792074765627,180.85133703629512,14.231938866344468
309,2,1,15236.092,236.42865811036057,147.47830349147273,174.5820483797289,35.53479806258718
310,9,3,23225.75,86.25872941269928,69.88364207829672,2.799737676415186,14.250929506259219
314,2,2,6689.016,75.4572554643314,217.16557412928898,75.4572554643314,23.361457668661583
315,5,2,16722.54,122.92236728104702,286.8731065974427,0.09595215350060458,191.96151025765226
316,4,0,16165.122,61.936974578416425,204.27578585549804,123.91824034455169,16.327947259043267
317,3,1,41806.35,7.20953110745138,111.73742744822258,6.303609584548759,13.621623583355161
319,8,2,20903.175,59.711422952446235,67.72751029448875,123.01192963451727,0.0
320,2,0,538.8374,84.71981401996224,43.33960486039017,84.20148202778797,4.921706397885522
321,7,2,34838.625,68.13930771194327,85.52639491369135,1.0486366375251608,14.990920926299474
322,9,2,16722.54,19.058411052208577,152.24493408298022,13.31850941603369,14.31907568957826
323,7,3,9476.106,78.69319867169068,201.14960723318208,75.07930500893511,33.60057305025925
324,7,0,227.61235,154.24664103243958,476.6261584663574,33.154111272960364,89.17579084790435
327,3,2,14492.868,78.78007483273842,54.75720885610771,57.09786073729506,9.13031756102381
328,5,1,7710.949,98.48588579797378,66.00536457963864,92.88618209833837,8.36882678915397
329,3,1,780.3851999999999,70.13632987657891,66.44154707188194,69.68905388902814,9.477669267689855
331,7,2,20438.66,96.70147409879122,231.0854038376293,70.76455308728654,28.04821730543979
332,2,1,278.709,205.30711410826348,343.44782550976106,226.58903887208524,7.025274931918238
333,1,2,10219.33,52.53865781054141,157.9953871731317,18.38885859797071,7.388253683656365
334,6,3,4505.7955,174.52031888886216,246.805919176758,81.46228071935356,38.98255362765576
335,8,3,4041.2805,66.39138447059045,138.17476911092908,65.02707810210156,6.8464059765215515
336,3,3,148.6448,203.4711419437478,512.308536861027,160.89401684418158,46.49867646900531
339,5,2,11891.584,140.32950694449116,102.92354660237021,140.32950694449116,18.727551925378485
340,7,1,1114.836,67.99774227061201,217.2678313222752,56.816819002974434,38.58590983785956
341,3,1,15050.286,169.68091197509472,167.0383539555328,22.386421191331518,6.041685033294384
342,8,2,120.7739,184.468368985352,148.77386587665052,181.64136981582945,10.402871622097159
345,9,2,22296.72,16.261011453747457,85.97506718476977,16.261011453747457,19.191035330129274
346,5,3,23225.75,64.25010457371668,8.443473300108716,64.17629975453968,1.0325734583813226
347,3,2,8361.27,41.43457592710198,133.89461170372442,30.84212414991981,25.5219058415767
348,7,0,23690.265,5.813231452244203,154.9487521562127,107.64204224760678,0.0
349,6,1,696.7725,112.15413466375324,123.66303205135104,96.23186060012415,58.989596370407845
350,5,2,34838.625,118.40611410324031,122.88025144505559,51.795706427879985,15.145050053439252
351,3,0,1858.06,108.70800649871373,13.697620098382185,108.70800649871373,0.0
353,2,0,213.6769,164.74647580529296,50.426602033256756,156.94777736854104,1.2028593965936423
